year,sex,hindfoot_length,weight,genus,species,taxa,plot_type
2001,M,35.0,55.0,Dipodomys,merriami,Rodent,Control
1983,F,34.0,30.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
1999,F,21.0,15.0,Chaetodipus,penicillatus,Rodent,Control
1981,F,48.0,142.0,Dipodomys,spectabilis,Rodent,Control
1986,M,35.0,49.0,Dipodomys,merriami,Rodent,Control
1981,F,,130.0,Dipodomys,spectabilis,Rodent,Control
1988,M,53.0,45.0,Dipodomys,ordii,Rodent,Spectab exclosure
1981,M,39.0,39.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
2002,F,26.0,30.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure
1997,F,20.0,19.0,Onychomys,torridus,Rodent,Short-term Krat Exclosure
1997,M,22.0,17.0,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure
1990,F,17.0,11.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure
1991,F,35.0,49.0,Dipodomys,ordii,Rodent,Spectab exclosure
1997,M,26.0,26.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure
1980,F,,43.0,Dipodomys,merriami,Rodent,Rodent Exclosure
1999,F,21.0,29.0,Peromyscus,eremicus,Rodent,Rodent Exclosure
1996,F,21.0,23.0,Onychomys,leucogaster,Rodent,Long-term Krat Exclosure
1980,M,48.0,99.0,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
1995,M,15.0,9.0,Perognathus,flavus,Rodent,Short-term Krat Exclosure
1987,F,17.0,7.0,Perognathus,flavus,Rodent,Control
2000,F,22.0,21.0,Chaetodipus,penicillatus,Rodent,Spectab exclosure
1985,M,35.0,33.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
1989,M,17.0,10.0,Reithrodontomys,megalotis,Rodent,Short-term Krat Exclosure
1981,not reported,,,Spermophilus,spilosoma,Rodent,Long-term Krat Exclosure
1994,F,18.0,9.0,Reithrodontomys,megalotis,Rodent,Short-term Krat Exclosure
1988,M,34.0,112.0,Neotoma,albigula,Rodent,Rodent Exclosure
1989,F,37.0,42.0,Dipodomys,merriami,Rodent,Rodent Exclosure
1980,M,49.0,136.0,Dipodomys,spectabilis,Rodent,Control
2001,M,38.0,51.0,Dipodomys,merriami,Rodent,Control
1983,F,21.0,31.0,Onychomys,leucogaster,Rodent,Spectab exclosure
1996,F,17.0,9.0,Perognathus,flavus,Rodent,Long-term Krat Exclosure
1998,M,21.0,25.0,Peromyscus,maniculatus,Rodent,Rodent Exclosure
1997,F,23.0,28.0,Chaetodipus,penicillatus,Rodent,Short-term Krat Exclosure
1982,M,18.0,23.0,Peromyscus,eremicus,Rodent,Long-term Krat Exclosure
1982,M,,90.0,Dipodomys,spectabilis,Rodent,Control
1978,M,,46.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
2002,F,26.0,29.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure
1980,M,36.0,45.0,Dipodomys,merriami,Rodent,Rodent Exclosure
1980,F,21.0,33.0,Onychomys,leucogaster,Rodent,Control
1998,F,35.0,,Dipodomys,merriami,Rodent,Spectab exclosure
1995,M,16.0,7.0,Perognathus,flavus,Rodent,Long-term Krat Exclosure
1992,F,16.0,12.0,Reithrodontomys,megalotis,Rodent,Long-term Krat Exclosure
1985,not reported,,,Amphispiza,bilineata,Bird,Control
1987,M,52.0,159.0,Dipodomys,spectabilis,Rodent,Control
1987,M,36.0,52.0,Dipodomys,ordii,Rodent,Control
1997,F,22.0,21.0,Chaetodipus,penicillatus,Rodent,Spectab exclosure
2000,M,18.0,12.0,Chaetodipus,penicillatus,Rodent,Short-term Krat Exclosure
1993,M,38.0,51.0,Dipodomys,merriami,Rodent,Control
1989,M,20.0,23.0,Onychomys,torridus,Rodent,Control
1985,F,36.0,39.0,Dipodomys,merriami,Rodent,Control
1986,not reported,,,Ammospermophilus,harrisi,Rodent,Long-term Krat Exclosure
1994,M,36.0,44.0,Dipodomys,merriami,Rodent,Control
1990,F,17.0,10.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure
1992,F,21.0,20.0,Chaetodipus,penicillatus,Rodent,Control
1991,M,37.0,49.0,Dipodomys,merriami,Rodent,Control
1996,F,35.0,37.0,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
1994,F,23.0,19.0,Chaetodipus,penicillatus,Rodent,Rodent Exclosure
2002,M,27.0,35.0,Chaetodipus,baileyi,Rodent,Control
1997,M,35.0,38.0,Dipodomys,merriami,Rodent,Control
1981,F,,38.0,Dipodomys,merriami,Rodent,Control
1996,M,24.0,21.0,Chaetodipus,penicillatus,Rodent,Short-term Krat Exclosure
2001,F,27.0,29.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure
1997,M,37.0,44.0,Dipodomys,merriami,Rodent,Control
1981,M,21.0,41.0,Onychomys,leucogaster,Rodent,Rodent Exclosure
1997,F,22.0,17.0,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure
1990,F,37.0,40.0,Dipodomys,merriami,Rodent,Spectab exclosure
2002,M,27.0,35.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure
1989,F,31.0,104.0,Neotoma,albigula,Rodent,Control
1995,M,37.0,43.0,Dipodomys,merriami,Rodent,Control
1981,F,,48.0,Dipodomys,merriami,Rodent,Control
1987,F,20.0,21.0,Peromyscus,eremicus,Rodent,Long-term Krat Exclosure
1983,F,35.0,37.0,Dipodomys,merriami,Rodent,Rodent Exclosure
1984,F,36.0,47.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
2001,M,28.0,22.0,Chaetodipus,baileyi,Rodent,Control
1980,F,35.0,39.0,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
1982,F,51.0,120.0,Dipodomys,spectabilis,Rodent,Spectab exclosure
1977,M,35.0,39.0,Dipodomys,merriami,Rodent,Control
1997,F,26.0,28.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure
1982,F,36.0,34.0,Dipodomys,merriami,Rodent,Control
1983,M,48.0,117.0,Dipodomys,spectabilis,Rodent,Control
2001,F,26.0,32.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure
1990,F,27.0,33.0,Perognathus,hispidus,Rodent,Control
1982,M,,,Peromyscus,eremicus,Rodent,Long-term Krat Exclosure
1998,M,20.0,29.0,Onychomys,torridus,Rodent,Control
2001,M,26.0,30.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure
1983,M,36.0,248.0,Neotoma,albigula,Rodent,Short-term Krat Exclosure
1994,F,36.0,52.0,Dipodomys,ordii,Rodent,Control
1981,M,51.0,136.0,Dipodomys,spectabilis,Rodent,Control
1984,F,20.0,30.0,Onychomys,leucogaster,Rodent,Spectab exclosure
1983,M,37.0,42.0,Dipodomys,merriami,Rodent,Rodent Exclosure
1978,not reported,,,Onychomys,leucogaster,Rodent,Long-term Krat Exclosure
1997,M,20.0,21.0,Onychomys,torridus,Rodent,Control
1997,F,21.0,34.0,Onychomys,torridus,Rodent,Control
1998,F,23.0,14.0,Chaetodipus,penicillatus,Rodent,Short-term Krat Exclosure
1992,F,36.0,48.0,Dipodomys,ordii,Rodent,Rodent Exclosure
1995,M,35.0,43.0,Dipodomys,merriami,Rodent,Control
1979,F,47.0,135.0,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
1991,F,33.0,39.0,Dipodomys,merriami,Rodent,Spectab exclosure
1996,M,39.0,48.0,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
2000,F,22.0,15.0,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure
1986,M,37.0,56.0,Dipodomys,ordii,Rodent,Rodent Exclosure
1978,M,36.0,41.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
1996,M,21.0,29.0,Onychomys,leucogaster,Rodent,Short-term Krat Exclosure
1997,F,37.0,40.0,Dipodomys,merriami,Rodent,Control
1988,M,37.0,,Dipodomys,ordii,Rodent,Control
1997,F,35.0,39.0,Dipodomys,merriami,Rodent,Control
1979,F,36.0,35.0,Dipodomys,merriami,Rodent,Rodent Exclosure
1999,F,20.0,26.0,Onychomys,torridus,Rodent,Control
1991,F,14.0,23.0,Onychomys,torridus,Rodent,Short-term Krat Exclosure
2001,F,20.0,31.0,Peromyscus,maniculatus,Rodent,Control
2001,M,28.0,32.0,Chaetodipus,baileyi,Rodent,Control
2002,M,36.0,57.0,Dipodomys,ordii,Rodent,Control
2002,F,26.0,31.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure
1981,M,36.0,38.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
1997,M,36.0,46.0,Dipodomys,ordii,Rodent,Spectab exclosure
1984,F,36.0,34.0,Dipodomys,merriami,Rodent,Control
1990,M,21.0,23.0,Onychomys,torridus,Rodent,Short-term Krat Exclosure
1980,F,36.0,37.0,Dipodomys,merriami,Rodent,Control
1983,M,21.0,24.0,Onychomys,torridus,Rodent,Control
1982,F,20.0,18.0,Onychomys,torridus,Rodent,Control
2001,M,22.0,16.0,Chaetodipus,penicillatus,Rodent,Control
2002,M,33.0,38.0,Dipodomys,merriami,Rodent,Control
2001,F,37.0,68.0,Dipodomys,ordii,Rodent,Spectab exclosure
1978,F,36.0,43.0,Dipodomys,merriami,Rodent,Control
1988,M,33.0,57.0,Dipodomys,ordii,Rodent,Rodent Exclosure
1981,M,52.0,153.0,Dipodomys,spectabilis,Rodent,Spectab exclosure
1997,M,36.0,55.0,Dipodomys,merriami,Rodent,Control
1992,F,12.0,10.0,Reithrodontomys,megalotis,Rodent,Long-term Krat Exclosure
1994,not reported,,,Amphispiza,bilineata,Bird,Spectab exclosure
1991,F,23.0,15.0,Chaetodipus,penicillatus,Rodent,Control
1999,F,36.0,46.0,Dipodomys,merriami,Rodent,Spectab exclosure
1992,M,18.0,22.0,Onychomys,torridus,Rodent,Long-term Krat Exclosure
1996,M,38.0,46.0,Dipodomys,merriami,Rodent,Spectab exclosure
1998,F,35.0,,Neotoma,albigula,Rodent,Control
1989,F,21.0,20.0,Peromyscus,eremicus,Rodent,Control
1978,F,36.0,43.0,Dipodomys,merriami,Rodent,Rodent Exclosure
1982,F,16.0,6.0,Perognathus,flavus,Rodent,Short-term Krat Exclosure
2002,M,35.0,41.0,Dipodomys,merriami,Rodent,Control
2002,F,26.0,46.0,Chaetodipus,baileyi,Rodent,Control
1987,F,35.0,44.0,Dipodomys,merriami,Rodent,Control
2002,M,36.0,53.0,Dipodomys,ordii,Rodent,Long-term Krat Exclosure
1982,M,36.0,42.0,Dipodomys,merriami,Rodent,Spectab exclosure
2000,M,35.0,51.0,Dipodomys,ordii,Rodent,Spectab exclosure
1984,F,36.0,43.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
1995,M,15.0,7.0,Perognathus,flavus,Rodent,Short-term Krat Exclosure
1980,M,,74.0,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
1992,M,19.0,22.0,Peromyscus,eremicus,Rodent,Control
1989,F,21.0,21.0,Onychomys,torridus,Rodent,Control
2000,M,29.0,77.0,Sigmodon,hispidus,Rodent,Spectab exclosure
1995,M,16.0,9.0,Perognathus,flavus,Rodent,Long-term Krat Exclosure
1984,M,37.0,47.0,Dipodomys,merriami,Rodent,Control
1996,not reported,,,Spermophilus,spilosoma,Rodent,Short-term Krat Exclosure
1985,M,35.0,30.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
1989,F,21.0,30.0,Onychomys,leucogaster,Rodent,Control
1989,M,35.0,43.0,Dipodomys,merriami,Rodent,Control
1993,F,37.0,46.0,Dipodomys,merriami,Rodent,Control
1990,M,37.0,47.0,Dipodomys,merriami,Rodent,Control
2002,M,38.0,51.0,Dipodomys,merriami,Rodent,Spectab exclosure
1987,M,21.0,20.0,Peromyscus,eremicus,Rodent,Long-term Krat Exclosure
1988,F,20.0,27.0,Peromyscus,maniculatus,Rodent,Rodent Exclosure
1982,M,21.0,23.0,Peromyscus,maniculatus,Rodent,Control
1981,M,36.0,38.0,Dipodomys,merriami,Rodent,Control
1989,F,21.0,22.0,Onychomys,torridus,Rodent,Control
1997,F,35.0,46.0,Dipodomys,ordii,Rodent,Control
2002,M,22.0,21.0,Chaetodipus,intermedius,Rodent,Control
2001,F,26.0,29.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure
1996,M,16.0,7.0,Perognathus,flavus,Rodent,Short-term Krat Exclosure
1979,M,38.0,46.0,Dipodomys,merriami,Rodent,Control
1996,M,18.0,10.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure
1989,M,21.0,22.0,Chaetodipus,penicillatus,Rodent,Rodent Exclosure
1987,F,19.0,22.0,Peromyscus,eremicus,Rodent,Rodent Exclosure
1990,M,36.0,22.0,Dipodomys,merriami,Rodent,Control
1979,F,,153.0,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
1989,not reported,,,Amphispiza,bilineata,Bird,Rodent Exclosure
1978,F,50.0,111.0,Dipodomys,spectabilis,Rodent,Control
2002,F,21.0,25.0,Peromyscus,eremicus,Rodent,Rodent Exclosure
1988,M,37.0,48.0,Dipodomys,merriami,Rodent,Spectab exclosure
1990,M,50.0,126.0,Dipodomys,spectabilis,Rodent,Control
1985,F,36.0,33.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
2002,not reported,,,Ammospermophilus,harrisi,Rodent,Long-term Krat Exclosure
1986,F,36.0,44.0,Dipodomys,merriami,Rodent,Rodent Exclosure
2001,F,27.0,29.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure
1996,F,24.0,21.0,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure
1980,M,,9.0,Perognathus,flavus,Rodent,Long-term Krat Exclosure
1997,F,21.0,18.0,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure
1980,M,49.0,106.0,Dipodomys,spectabilis,Rodent,Control
1991,M,17.0,9.0,Reithrodontomys,megalotis,Rodent,Short-term Krat Exclosure
1997,F,26.0,29.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure
1986,F,20.0,25.0,Onychomys,leucogaster,Rodent,Short-term Krat Exclosure
1993,F,16.0,8.0,Perognathus,flavus,Rodent,Long-term Krat Exclosure
1988,F,23.0,20.0,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure
1994,M,21.0,25.0,Onychomys,torridus,Rodent,Spectab exclosure
1983,F,50.0,126.0,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
1990,M,22.0,23.0,Onychomys,torridus,Rodent,Long-term Krat Exclosure
1999,F,26.0,34.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure
1983,M,19.0,18.0,Peromyscus,maniculatus,Rodent,Rodent Exclosure
1983,M,32.0,20.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
1977,not reported,,,Onychomys,leucogaster,Rodent,Control
1991,M,36.0,39.0,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
1982,F,23.0,15.0,Chaetodipus,penicillatus,Rodent,Control
1981,M,,125.0,Dipodomys,spectabilis,Rodent,Control
1978,not reported,,,Neotoma,albigula,Rodent,Control
1987,M,,30.0,Onychomys,leucogaster,Rodent,Long-term Krat Exclosure
2002,M,34.0,22.0,Dipodomys,merriami,Rodent,Spectab exclosure
2002,M,20.0,19.0,Onychomys,torridus,Rodent,Short-term Krat Exclosure
1996,F,16.0,11.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure
1987,F,34.0,50.0,Dipodomys,ordii,Rodent,Short-term Krat Exclosure
1999,M,37.0,57.0,Dipodomys,merriami,Rodent,Rodent Exclosure
1983,F,48.0,118.0,Dipodomys,spectabilis,Rodent,Spectab exclosure
1997,M,28.0,40.0,Chaetodipus,baileyi,Rodent,Control
1990,M,37.0,48.0,Dipodomys,merriami,Rodent,Spectab exclosure
1998,M,20.0,20.0,Peromyscus,maniculatus,Rodent,Rodent Exclosure
1986,M,38.0,50.0,Dipodomys,merriami,Rodent,Rodent Exclosure
2001,M,35.0,48.0,Dipodomys,merriami,Rodent,Control
2002,F,37.0,50.0,Dipodomys,merriami,Rodent,Control
1979,M,38.0,46.0,Dipodomys,merriami,Rodent,Control
1985,M,38.0,43.0,Dipodomys,merriami,Rodent,Spectab exclosure
2000,M,36.0,56.0,Dipodomys,merriami,Rodent,Control
1981,M,37.0,46.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
1984,F,36.0,39.0,Dipodomys,merriami,Rodent,Control
1986,M,35.0,37.0,Dipodomys,merriami,Rodent,Control
1999,F,21.0,24.0,Onychomys,torridus,Rodent,Control
1991,F,27.0,44.0,Dipodomys,ordii,Rodent,Spectab exclosure
1983,F,36.0,61.0,Dipodomys,ordii,Rodent,Short-term Krat Exclosure
1982,not reported,,,Sylvilagus,audubonii,Rabbit,Rodent Exclosure
1997,F,21.0,19.0,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure
1998,M,37.0,,Dipodomys,merriami,Rodent,Control
1987,not reported,,,Ammospermophilus,harrisi,Rodent,Rodent Exclosure
1982,M,,11.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure
1982,M,18.0,11.0,Reithrodontomys,megalotis,Rodent,Long-term Krat Exclosure
1995,M,17.0,10.0,Reithrodontomys,megalotis,Rodent,Long-term Krat Exclosure
2002,M,36.0,53.0,Dipodomys,merriami,Rodent,Control
1977,not reported,,,Perognathus,flavus,Rodent,Long-term Krat Exclosure
1995,F,14.0,10.0,Perognathus,flavus,Rodent,Long-term Krat Exclosure
1997,M,35.0,50.0,Dipodomys,merriami,Rodent,Control
1988,F,16.0,10.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure
1979,M,21.0,29.0,Onychomys,leucogaster,Rodent,Control
1982,M,37.0,43.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
1990,F,17.0,12.0,Reithrodontomys,megalotis,Rodent,Short-term Krat Exclosure
1996,M,34.0,38.0,Dipodomys,ordii,Rodent,Spectab exclosure
1984,M,49.0,124.0,Dipodomys,spectabilis,Rodent,Control
1997,F,21.0,23.0,Onychomys,torridus,Rodent,Short-term Krat Exclosure
1995,F,21.0,18.0,Chaetodipus,penicillatus,Rodent,Rodent Exclosure
1982,F,,52.0,Sigmodon,hispidus,Rodent,Control
1990,F,37.0,40.0,Dipodomys,merriami,Rodent,Control
1986,F,34.0,32.0,Dipodomys,ordii,Rodent,Spectab exclosure
2000,F,25.0,33.0,Chaetodipus,baileyi,Rodent,Spectab exclosure
1989,M,19.0,19.0,Peromyscus,eremicus,Rodent,Control
1985,M,33.0,26.0,Dipodomys,merriami,Rodent,Control
1992,M,14.0,11.0,Perognathus,flavus,Rodent,Short-term Krat Exclosure
1997,M,37.0,44.0,Dipodomys,merriami,Rodent,Control
1983,M,19.0,21.0,Onychomys,torridus,Rodent,Short-term Krat Exclosure
1982,F,35.0,44.0,Dipodomys,merriami,Rodent,Control
1991,F,12.0,14.0,Perognathus,flavus,Rodent,Long-term Krat Exclosure
1982,M,50.0,137.0,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
1982,M,,38.0,Dipodomys,merriami,Rodent,Rodent Exclosure
1978,M,49.0,112.0,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
1996,M,16.0,8.0,Perognathus,flavus,Rodent,Long-term Krat Exclosure
1978,F,35.0,43.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
1999,F,24.0,32.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure
1984,M,37.0,38.0,Dipodomys,merriami,Rodent,Control
1991,F,18.0,15.0,Chaetodipus,penicillatus,Rodent,Spectab exclosure
1991,not reported,,,Amphispiza,bilineata,Bird,Rodent Exclosure
1997,M,21.0,28.0,Onychomys,torridus,Rodent,Spectab exclosure
1987,M,18.0,14.0,Reithrodontomys,megalotis,Rodent,Long-term Krat Exclosure
1984,M,36.0,46.0,Dipodomys,ordii,Rodent,Control
1983,M,51.0,133.0,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
1997,F,26.0,28.0,Chaetodipus,baileyi,Rodent,Control
1982,M,36.0,39.0,Dipodomys,merriami,Rodent,Rodent Exclosure
2001,M,27.0,31.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure
2002,M,32.0,51.0,Dipodomys,ordii,Rodent,Spectab exclosure
1989,M,37.0,44.0,Dipodomys,merriami,Rodent,Control
1988,F,34.0,188.0,Neotoma,albigula,Rodent,Control
1981,M,,145.0,Dipodomys,spectabilis,Rodent,Control
1989,M,,10.0,Reithrodontomys,megalotis,Rodent,Control
1998,M,35.0,43.0,Dipodomys,merriami,Rodent,Control
1984,M,32.0,,Neotoma,albigula,Rodent,Control
1995,F,33.0,43.0,Dipodomys,merriami,Rodent,Control
1998,not reported,,,Spermophilus,spilosoma,Rodent,Control
2002,F,22.0,18.0,Chaetodipus,penicillatus,Rodent,Control
1986,M,37.0,46.0,Dipodomys,merriami,Rodent,Spectab exclosure
1988,M,36.0,40.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
1997,M,35.0,32.0,Dipodomys,ordii,Rodent,Spectab exclosure
2002,M,22.0,18.0,Chaetodipus,penicillatus,Rodent,Control
1994,not reported,,,Ammospermophilus,harrisi,Rodent,Control
1982,F,49.0,127.0,Dipodomys,spectabilis,Rodent,Control
1997,M,36.0,39.0,Dipodomys,merriami,Rodent,Control
1989,M,21.0,21.0,Peromyscus,eremicus,Rodent,Control
1985,F,36.0,39.0,Dipodomys,merriami,Rodent,Spectab exclosure
1987,M,20.0,19.0,Peromyscus,eremicus,Rodent,Long-term Krat Exclosure
1978,M,48.0,113.0,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
1977,M,34.0,25.0,Dipodomys,merriami,Rodent,Rodent Exclosure
1997,F,21.0,25.0,Peromyscus,maniculatus,Rodent,Rodent Exclosure
1987,M,36.0,43.0,Dipodomys,merriami,Rodent,Spectab exclosure
1983,F,51.0,116.0,Dipodomys,spectabilis,Rodent,Control
1999,M,27.0,48.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure
1985,F,20.0,38.0,Onychomys,leucogaster,Rodent,Control
1982,F,,39.0,Dipodomys,merriami,Rodent,Control
1995,M,35.0,52.0,Dipodomys,merriami,Rodent,Control
2002,M,28.0,31.0,Chaetodipus,baileyi,Rodent,Rodent Exclosure
1991,M,16.0,8.0,Perognathus,flavus,Rodent,Control
1988,M,36.0,28.0,Dipodomys,merriami,Rodent,Control
1996,M,32.0,184.0,Neotoma,albigula,Rodent,Control
1996,F,22.0,25.0,Onychomys,torridus,Rodent,Short-term Krat Exclosure
1996,M,35.0,28.0,Dipodomys,merriami,Rodent,Control
1996,M,22.0,30.0,Onychomys,torridus,Rodent,Short-term Krat Exclosure
1980,M,37.0,42.0,Dipodomys,merriami,Rodent,Control
1985,F,35.0,32.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
1978,M,37.0,41.0,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
1993,F,20.0,27.0,Onychomys,leucogaster,Rodent,Long-term Krat Exclosure
1978,F,48.0,140.0,Dipodomys,spectabilis,Rodent,Spectab exclosure
1998,F,36.0,45.0,Dipodomys,merriami,Rodent,Control
1977,F,35.0,39.0,Dipodomys,merriami,Rodent,Control
2002,F,26.0,26.0,Chaetodipus,baileyi,Rodent,Control
1982,F,16.0,8.0,Perognathus,flavus,Rodent,Long-term Krat Exclosure
1991,M,20.0,18.0,Peromyscus,eremicus,Rodent,Short-term Krat Exclosure
2002,M,28.0,43.0,Chaetodipus,baileyi,Rodent,Control
1980,F,36.0,53.0,Dipodomys,merriami,Rodent,Spectab exclosure
1992,F,25.0,72.0,Sigmodon,ochrognathus,Rodent,Control
1986,M,49.0,94.0,Dipodomys,spectabilis,Rodent,Control
1978,M,,,Onychomys,leucogaster,Rodent,Short-term Krat Exclosure
2000,M,36.0,52.0,Dipodomys,ordii,Rodent,Control
1980,F,36.0,43.0,Dipodomys,merriami,Rodent,Spectab exclosure
1987,F,21.0,27.0,Peromyscus,eremicus,Rodent,Rodent Exclosure
1983,M,50.0,124.0,Dipodomys,spectabilis,Rodent,Control
1979,F,52.0,127.0,Dipodomys,spectabilis,Rodent,Control
1983,F,21.0,23.0,Onychomys,torridus,Rodent,Control
1991,F,21.0,21.0,Onychomys,torridus,Rodent,Control
1989,M,16.0,12.0,Reithrodontomys,megalotis,Rodent,Long-term Krat Exclosure
2002,M,21.0,9.0,Chaetodipus,penicillatus,Rodent,Control
1994,M,36.0,46.0,Dipodomys,merriami,Rodent,Control
1997,M,23.0,,Chaetodipus,penicillatus,Rodent,Short-term Krat Exclosure
1993,F,21.0,26.0,Onychomys,torridus,Rodent,Short-term Krat Exclosure
2001,M,36.0,43.0,Dipodomys,merriami,Rodent,Control
1989,M,37.0,45.0,Dipodomys,ordii,Rodent,Control
1980,M,34.0,44.0,Dipodomys,ordii,Rodent,Short-term Krat Exclosure
2002,F,26.0,25.0,Chaetodipus,baileyi,Rodent,Control
2002,M,28.0,44.0,Chaetodipus,baileyi,Rodent,Control
1978,F,50.0,119.0,Dipodomys,spectabilis,Rodent,Control
1998,F,35.0,42.0,Dipodomys,merriami,Rodent,Spectab exclosure
1992,M,21.0,12.0,Chaetodipus,penicillatus,Rodent,Short-term Krat Exclosure
1989,F,15.0,7.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure
2000,M,21.0,10.0,Chaetodipus,penicillatus,Rodent,Spectab exclosure
2002,F,26.0,36.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure
2001,F,35.0,54.0,Dipodomys,merriami,Rodent,Control
1979,M,48.0,87.0,Dipodomys,spectabilis,Rodent,Rodent Exclosure
1996,F,16.0,9.0,Reithrodontomys,megalotis,Rodent,Control
2002,not reported,,,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure
1989,F,21.0,25.0,Peromyscus,eremicus,Rodent,Short-term Krat Exclosure
1985,F,18.0,14.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure
1994,F,21.0,12.0,Chaetodipus,penicillatus,Rodent,Rodent Exclosure
1982,F,21.0,11.0,Chaetodipus,penicillatus,Rodent,Short-term Krat Exclosure
2000,F,20.0,18.0,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure
1997,F,20.0,35.0,Peromyscus,maniculatus,Rodent,Rodent Exclosure
1999,M,37.0,45.0,Dipodomys,merriami,Rodent,Control
1989,F,19.0,22.0,Onychomys,torridus,Rodent,Rodent Exclosure
1990,F,36.0,42.0,Dipodomys,merriami,Rodent,Control
1985,M,35.0,47.0,Dipodomys,ordii,Rodent,Control
2002,F,26.0,26.0,Chaetodipus,baileyi,Rodent,Control
1995,M,21.0,27.0,Onychomys,leucogaster,Rodent,Control
1989,F,21.0,28.0,Peromyscus,eremicus,Rodent,Long-term Krat Exclosure
1996,F,22.0,23.0,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure
2002,F,26.0,30.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure
1978,F,30.0,24.0,Peromyscus,eremicus,Rodent,Rodent Exclosure
1998,F,37.0,42.0,Dipodomys,merriami,Rodent,Control
1993,M,37.0,56.0,Dipodomys,merriami,Rodent,Control
1980,M,35.0,42.0,Dipodomys,merriami,Rodent,Control
1987,M,36.0,47.0,Dipodomys,merriami,Rodent,Spectab exclosure
1989,F,37.0,56.0,Dipodomys,ordii,Rodent,Control
1997,M,20.0,25.0,Onychomys,torridus,Rodent,Control
1982,F,35.0,35.0,Dipodomys,merriami,Rodent,Rodent Exclosure
1996,M,22.0,28.0,Peromyscus,maniculatus,Rodent,Control
1998,F,20.0,27.0,Peromyscus,maniculatus,Rodent,Short-term Krat Exclosure
